,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
748,Freckles,"First published January 1, 2021",Cecelia Ahern,Fiction,3.71,"12,937 ratings","352 pages, ebook",67,,769 people are currently reading,"7,631 people want to read"
749,State of Affairs,"First published April 20, 2021",Marie Force,Romance,4.50,"5,635 ratings","362 pages, Kindle Edition",69,,"2,211 people are currently reading","5,946 people want to read"
750,Quiet in Her Bones,"First published February 23, 2021",Nalini Singh,Mystery,3.61,"8,155 ratings","374 pages, Hardcover",70,,710 people are currently reading,391 people want to read
751,The Hand of the Sun King,"First published August 5, 2021",J.T. Greathouse,Fantasy,3.78,"2,635 ratings","416 pages, Hardcover",71,,207 people are currently reading,10.9k people want to read
752,Kisses and Croissants,"First published April 6, 2021",Anne-Sophie Jouhanneau,Romance,3.76,"17,953 ratings","320 pages, Hardcover",72,,776 people are currently reading,45.8k people want to read
753,The Floating Field: How a Group of Thai Boys Built Their Own Soccer Field,"First published March 2, 2021",Scott Riley,Picture Books,4.26,627 ratings,"40 pages, Hardcover",73,,20 people are currently reading,286 people want to read
754,Nolyn,"First published August 3, 2021",Michael J. Sullivan,Fantasy,4.18,"7,263 ratings","480 pages, Hardcover",74,,869 people are currently reading,20k people want to read
755,Stop Saving the Planet!: An Environmentalist Manifesto,"First published April 20, 2021",Jenny Price,Nonfiction,3.37,386 ratings,"141 pages, Kindle Edition",75,,25 people are currently reading,759 people want to read
756,Brutal King,"First published November 11, 2021",Jagger Cole,Dark,4.35,"3,681 ratings","374 pages, Kindle Edition",76,,984 people are currently reading,"2,325 people want to read"
757,Fallen Jester,"First published May 18, 2021",Devney Perry,Romance,4.14,"14,168 ratings","372 pages, ebook",77,,"1,021 people are currently reading",11.2k people want to read
758,What Comes After,"First published April 13, 2021",JoAnne Tompkins,Fiction,3.77,"28,459 ratings","429 pages, Kindle Edition",78,,996 people are currently reading,53.7k people want to read
759,Let Me Love You,"First published May 31, 2021",Siobhan Davis ™,Romance,4.37,"8,936 ratings","373 pages, Kindle Edition",79,,"1,991 people are currently reading","5,496 people want to read"
760,This Is Your Mind on Plants,"First published July 6, 2021",Michael Pollan,,3.87,"30,880 ratings","288 pages, Hardcover",80,,"3,312 people are currently reading",57.9k people want to read
761,The Wreckage of My Presence,"First published May 4, 2021",Casey Wilson,,4.14,"18,756 ratings","288 pages, Hardcover",81,,962 people are currently reading,21.1k people want to read
762,A Change of Circumstance,"First published October 7, 2021",Susan Hill,Mystery,4.02,"3,270 ratings","320 pages, Hardcover",82,,319 people are currently reading,"2,622 people want to read"
763,Save Me,"First published December 30, 2021",Ashley N. Rostek,Reverse Harem,4.25,"27,248 ratings","244 pages, Kindle Edition",83,,"1,055 people are currently reading","8,829 people want to read"
764,The Bachelor,"First published July 20, 2021",Andrew Palmer,Fiction,2.79,408 ratings,"273 pages, Hardcover",84,,45 people are currently reading,"4,448 people want to read"
765,Northern Protestants: On Shifting Ground,"First published May 27, 2021",Susan McKay,Nonfiction,4.37,242 ratings,"346 pages, Paperback",85,,40 people are currently reading,344 people want to read
766,Crip Kinship: The Disability Justice & Art Activism of Sins Invalid,"First published January 1, 2021",Shayda Kafai,Disability,4.26,281 ratings,"192 pages, Paperback",86,,63 people are currently reading,"2,386 people want to read"
767,A Counterfeit Suitor,"First published November 30, 2021",Darcie Wilde,Mystery,4.09,"1,632 ratings","437 pages, Hardcover",87,,90 people are currently reading,615 people want to read
768,100 Boyfriends,"First published February 2, 2021",Brontez Purnell,Short Stories,3.76,"5,490 ratings","192 pages, Paperback",88,,419 people are currently reading,16.9k people want to read
769,Ida B. the Queen: The Extraordinary Life and Legacy of Ida B. Wells,"First published January 26, 2021",Michelle Duster,Nonfiction,3.73,"1,283 ratings","176 pages, Hardcover",89,,143 people are currently reading,"4,806 people want to read"
770,Cuba: An American History,"First published September 27, 2021",Ada Ferrer,History,4.46,"4,217 ratings","560 pages, Hardcover",90,,"1,870 people are currently reading",13.7k people want to read
771,21 Grams,"First published July 13, 2021",M. Regan,Horror,4.64,25 ratings,"204 pages, ebook",91,,6 people are currently reading,109 people want to read
772,Relentless,"First published February 16, 2021",Mark Greaney,Thriller,4.50,"13,846 ratings","768 pages, Paperback",92,,"2,290 people are currently reading","3,428 people want to read"
773,Riley Thorn and the Corpse in the Closet,"First published July 7, 2021",Lucy Score,Romance,4.32,"26,663 ratings","452 pages, Kindle Edition",93,,"4,883 people are currently reading",30.2k people want to read
774,Unguarded,"First published May 6, 2021",Jay Hogan,Romance,4.15,"2,868 ratings","345 pages, Kindle Edition",94,,228 people are currently reading,"2,251 people want to read"
775,Wybaczam ci,"First published July 14, 2021",Remigiusz Mróz,Audiobook,3.97,"2,477 ratings","432 pages, Paperback",95,,38 people are currently reading,634 people want to read
776,Chevreuse,"First published September 1, 2021",Patrick Modiano,Fiction,3.57,703 ratings,"176 pages, Broché",96,,49 people are currently reading,573 people want to read
777,Julia and the Shark,"First published September 2, 2021",Kiran Millwood Hargrave,Middle Grade,4.31,"3,371 ratings","209 pages, Paperback",97,,111 people are currently reading,"7,114 people want to read"
778,Constance,"First published September 1, 2021",Matthew FitzSimmons,,4.02,"19,881 ratings","343 pages, Kindle Edition",98,,"5,072 people are currently reading",24.2k people want to read
779,The Seed Keeper,"First published March 9, 2021",Diane Wilson,Fiction,4.28,"18,848 ratings","373 pages, Kindle Edition",99,,"1,938 people are currently reading",39.9k people want to read
780,Excuse Me While I Ugly Cry,"First published May 4, 2021",Joya Goffney,Romance,4.07,"26,381 ratings","368 pages, ebook",100,,"1,010 people are currently reading",49k people want to read
781,Edin,"First published May 19, 2021",Lily Mayne,Fantasy,4.24,"12,747 ratings","410 pages, Kindle Edition",1,,699 people are currently reading,"3,440 people want to read"
782,Go Around,"First published November 16, 2021",E.J. Noyes,Romance,4.33,"2,025 ratings","319 pages, Kindle Edition",2,,79 people are currently reading,"1,374 people want to read"
783,Shadow,"First published July 1, 2021",Kara Swanson,Fantasy,4.25,"1,499 ratings","304 pages, Hardcover",3,,36 people are currently reading,"1,914 people want to read"
784,Transient Desires,"First published March 4, 2021",Donna Leon,Mystery,4.10,"10,442 ratings","272 pages, Hardcover",4,,"1,002 people are currently reading","3,209 people want to read"
785,Hard to Score,"First published February 12, 2021",K. Bromberg,Sports Romance,4.27,"4,565 ratings","304 pages, Paperback",5,,541 people are currently reading,"6,819 people want to read"
786,Still,"First published May 26, 2021",Matt Nable,Crime,3.84,"2,258 ratings","384 pages, Paperback",6,,141 people are currently reading,"1,709 people want to read"
787,The Sweet Taste of Muscadines,"First published March 16, 2021",Pamela Terry,Fiction,4.05,"6,378 ratings","264 pages, ebook",7,,577 people are currently reading,19.1k people want to read
788,Return of the Trickster,"First published March 2, 2021",Eden Robinson,Indigenous,4.11,"3,094 ratings","306 pages, Hardcover",8,,73 people are currently reading,"2,273 people want to read"
789,In Royal Service to the Queen,"First published June 29, 2021",Tessa Arlen,Historical Fiction,3.92,"1,564 ratings","368 pages, Paperback",9,,240 people are currently reading,"5,615 people want to read"
790,Boys In the Valley,"First published July 11, 2023",Philip Fracassi,Horror,4.15,"8,502 ratings","318 pages, Hardcover",11,,498 people are currently reading,28.4k people want to read
791,There Is a Rainbow,"First published January 26, 2021",Theresa Trinder,Picture Books,4.03,429 ratings,"52 pages, Hardcover",12,,1 person is currently reading,201 people want to read
792,The New Age of Empire: How Racism and Colonialism Still Rule the World,"First published February 4, 2021",Kehinde Andrews,Nonfiction,4.30,865 ratings,"288 pages, Hardcover",13,,195 people are currently reading,"7,033 people want to read"
793,Our Woman in Moscow,"First published June 1, 2021",Beatriz Williams,Historical Fiction,4.06,"23,193 ratings","437 pages, Hardcover",14,,"1,653 people are currently reading",42.6k people want to read
794,The End of the World is Flat,"First published August 16, 2021",Simon Edge,Fiction,4.21,415 ratings,"270 pages, Paperback",15,,54 people are currently reading,435 people want to read
795,The Tyrant Prince,"First published October 4, 2021",Z.S. Storm,Romance,4.02,162 ratings,"286 pages, Kindle Edition",16,,3 people are currently reading,92 people want to read
796,The Bluff,"First published April 1, 2021",Willa Nash,Contemporary Romance,4.19,"18,349 ratings","338 pages, Kindle Edition",17,,"1,942 people are currently reading",13.6k people want to read
797,Paper & Blood,"First published August 10, 2021",Kevin Hearne,Fantasy,4.20,"5,535 ratings","304 pages, Hardcover",18,,302 people are currently reading,"5,202 people want to read"
798,A Familiar Sight,"First published August 1, 2021",Brianna Labuskes,Mystery,4.12,"24,222 ratings","367 pages, Paperback",19,,11k people are currently reading,14.7k people want to read
799,The Heartbreak Bakery,"First published October 12, 2021",A.R. Capetta,Romance,3.98,"3,545 ratings","352 pages, Hardcover",20,,154 people are currently reading,13.4k people want to read
800,Prey,"First published January 8, 2021",Hannah McBride,Paranormal,4.32,"3,084 ratings","516 pages, Kindle Edition",21,,700 people are currently reading,708 people want to read
801,What Abigail Did That Summer,"First published March 18, 2021",Ben Aaronovitch,Fantasy,4.23,"10,548 ratings","175 pages, Kindle Edition",22,,425 people are currently reading,"3,405 people want to read"
802,Dear Senthuran: A Black Spirit Memoir,"First published June 8, 2021",Akwaeke Emezi,Memoir,4.29,"4,067 ratings","240 pages, Hardcover",23,,367 people are currently reading,15.4k people want to read
803,City of Shattered Light,"First published October 19, 2021",Claire Winn,Science Fiction,3.77,"1,107 ratings","400 pages, Paperback",25,,53 people are currently reading,10.6k people want to read
804,The Horde: How the Mongols Changed the World,"First published April 20, 2021",Marie Favereau,History,3.84,891 ratings,"377 pages, Hardcover",26,,338 people are currently reading,"3,580 people want to read"
805,Case Study,"First published October 7, 2021",Graeme Macrae Burnet,Fiction,3.59,"9,803 ratings","279 pages, ebook",27,,612 people are currently reading,19.8k people want to read
806,Dear Santa,"First published October 19, 2021",Debbie Macomber,Christmas,4.03,"14,602 ratings","272 pages, Hardcover",28,,766 people are currently reading,11.9k people want to read
807,Tryst Six Venom,"First published June 3, 2021",Penelope Douglas,Romance,3.86,"35,361 ratings","589 pages, Kindle Edition",29,,"6,596 people are currently reading","2,696 people want to read"
808,Dearest Josephine,"First published February 2, 2021",Caroline George,Romance,3.79,"2,159 ratings","377 pages, Kindle Edition",30,,156 people are currently reading,"8,844 people want to read"
809,The Gilded Cage,"First published October 12, 2021",Lynette Noni,Fantasy,4.27,"66,183 ratings","429 pages, Paperback",31,,"3,036 people are currently reading",64.1k people want to read
810,The Rycke,"First published August 9, 2021",Lily Mayne,Fantasy,4.29,"11,465 ratings","330 pages, Kindle Edition",32,,548 people are currently reading,"2,948 people want to read"
811,Spring eller dö,"First published January 1, 2021",Maria Adolfsson,Crime,3.89,"1,227 ratings","375 pages, Mass Market Paperback",33,,14 people are currently reading,349 people want to read
812,We Play Ourselves,"First published February 9, 2021",Jen Silverman,Fiction,3.82,"2,680 ratings","336 pages, Kindle Edition",34,,142 people are currently reading,11.7k people want to read
813,Relentless,"First published March 9, 2021",Jade West,Romance,3.82,"2,002 ratings","284 pages, Kindle Edition",35,,214 people are currently reading,"1,958 people want to read"
814,"Killer Triggers: Murder Comes Down to Sex, Drugs, or Money","First published March 9, 2021",Joe Kenda,True Crime,4.45,"2,522 ratings","248 pages, Hardcover",36,,435 people are currently reading,"5,076 people want to read"
815,The King of Faerie,"First published July 24, 2021",A.J. Lancaster,Fantasy,4.35,"3,240 ratings","550 pages, Kindle Edition",37,,297 people are currently reading,"1,580 people want to read"
816,Return to Us,"First published February 23, 2021",Corinne Michaels,Romance,4.10,"17,291 ratings","370 pages, Kindle Edition",40,,"3,209 people are currently reading",23.1k people want to read
817,A Kiss for a Kiss,"First published May 27, 2021",Helena Hunting,Romance,4.00,"12,495 ratings","250 pages, Kindle Edition",41,,"1,737 people are currently reading",10.4k people want to read
818,The Heart of a Cowboy,"First published October 1, 2021",Jody Hedlund,Historical Fiction,4.31,"1,797 ratings","359 pages, Paperback",42,,88 people are currently reading,896 people want to read
819,Bloop,"First published July 6, 2021",Tara Lazar,Picture Books,4.01,406 ratings,"40 pages, Hardcover",43,,1 person is currently reading,300 people want to read
820,The Effort,"First published January 12, 2021",Claire Holroyde,Science Fiction,3.28,"1,066 ratings","368 pages, Hardcover",44,,75 people are currently reading,"6,087 people want to read"
821,The Next Mrs Russo,"First published June 14, 2021",Jana Aston,Romance,4.14,"3,748 ratings","224 pages, Kindle Edition",45,,249 people are currently reading,"2,060 people want to read"
822,The Stable Boy,"First published June 30, 2021",Z.S. Storm,Dark,3.98,257 ratings,Kindle Edition,46,,31 people are currently reading,387 people want to read
823,In the Event of Contact,"First published May 18, 2021",Ethel Rohan,Short Stories,4.12,191 ratings,"192 pages, Paperback",47,,15 people are currently reading,"3,422 people want to read"
824,The Brazen,"First published July 15, 2021",Willa Nash,Contemporary Romance,4.11,"15,085 ratings","322 pages, Kindle Edition",48,,"1,512 people are currently reading","9,549 people want to read"
825,Taming a Bear,"First published April 21, 2021",Eve Langlais,Romance,4.20,582 ratings,"198 pages, Kindle Edition",49,,116 people are currently reading,365 people want to read
826,In Deeper Waters,"First published April 20, 2021",F.T. Lukens,Fantasy,3.88,"24,498 ratings","320 pages, Hardcover",50,,"1,189 people are currently reading",52.9k people want to read
827,Legacy,"First published April 10, 2021",Hannah McBride,Paranormal,4.34,"2,514 ratings","590 pages, Kindle Edition",51,,394 people are currently reading,661 people want to read
828,Termination Shock,"First published October 27, 2021",Neal Stephenson,,3.84,"18,832 ratings","708 pages, Hardcover",52,,"3,157 people are currently reading",32.9k people want to read
829,Delicacy,"First published April 15, 2021",Katy Wix,Nonfiction,4.15,"2,081 ratings","288 pages, Hardcover",53,,132 people are currently reading,"2,489 people want to read"
830,The Middle Ages: A Graphic History,"First published September 14, 2021",Eleanor Janega,History,4.01,766 ratings,"176 pages, Paperback",54,,89 people are currently reading,"1,660 people want to read"
831,The Sex Lives of African Women,"First published July 22, 2021",Nana Darkoa Sekyiamah,Nonfiction,3.98,"2,594 ratings","304 pages, Kindle Edition",55,,537 people are currently reading,"9,215 people want to read"
832,Peaces,"First published April 6, 2021",Helen Oyeyemi,Fiction,3.25,"4,651 ratings","272 pages, Hardcover",57,,423 people are currently reading,14.6k people want to read
833,The Cursed Carnival and Other Calamities: New Stories about Mythic Heroes,"First published September 28, 2021",Rick Riordan,Fantasy,3.86,"1,776 ratings","464 pages, Hardcover",58,,471 people are currently reading,"7,051 people want to read"
834,The Lights of Sugarberry Cove,"First published July 20, 2021",Heather Webber,Magical Realism,4.07,"6,035 ratings","265 pages, Kindle Edition",59,,379 people are currently reading,"5,226 people want to read"
835,Soul Eater,"First published March 25, 2021",Lily Mayne,Fantasy,4.26,"20,246 ratings","329 pages, Kindle Edition",60,,"1,545 people are currently reading",17.9k people want to read
836,Of Blood and Fire,"First published March 20, 2021",Ryan Cahill,Fantasy,4.10,"14,537 ratings","541 pages, Kindle Edition",61,,"5,072 people are currently reading",52.7k people want to read
837,They Said They Wanted Revolution: A Memoir of My Parents,"First published February 1, 2021",Neda Toloui-Semnani,Nonfiction,3.79,"1,570 ratings","287 pages, Kindle Edition",62,,"1,127 people are currently reading","3,612 people want to read"
838,Dreams Lie Beneath,"First published November 2, 2021",Rebecca Ross,Fantasy,4.08,"14,708 ratings","496 pages, Kindle Edition",63,,616 people are currently reading,54.6k people want to read
839,The Last Checkmate,"First published October 19, 2021",Gabriella Saab,Historical Fiction,4.18,"4,927 ratings","416 pages, Paperback",64,,410 people are currently reading,15.9k people want to read
840,Social Queue,"First published September 1, 2021",Kay Kerr,Young Adult,3.98,848 ratings,"288 pages, Paperback",65,,38 people are currently reading,"2,252 people want to read"
841,The Book of Hope: A Survival Guide for Trying Times,"First published October 19, 2021",Jane Goodall,,4.19,"15,717 ratings","272 pages, Hardcover",66,,"1,894 people are currently reading",50k people want to read
842,The Good Neighbours,"First published June 10, 2021",Nina Allan,Fiction,3.66,213 ratings,"304 pages, Kindle Edition",67,,7 people are currently reading,500 people want to read
843,Strict Confidence,"First published June 15, 2021",Skye Warren,Romance,4.11,"3,505 ratings","294 pages, Kindle Edition",68,,926 people are currently reading,"2,248 people want to read"
844,A Dark and Secret Place,"First published June 8, 2021",Jen Williams,Thriller,3.48,"4,701 ratings","292 pages, Hardcover",69,,236 people are currently reading,17.1k people want to read
845,Revelator,"First published August 31, 2021",Daryl Gregory,Horror,3.97,"5,831 ratings","337 pages, Hardcover",70,,401 people are currently reading,15.9k people want to read
846,The Good Lie,"First published July 20, 2021",A.R. Torre,Thriller,4.12,"141,730 ratings","257 pages, Kindle Edition",72,,16.4k people are currently reading,209k people want to read
847,Lightseekers,"First published February 4, 2021",Femi Kayode,Mystery,3.73,"3,055 ratings","432 pages, Hardcover",73,,206 people are currently reading,11k people want to read
848,Steelstorm - Imperium Press,"First published September 18, 2021",Thomas777,Fiction,3.80,61 ratings,"87 pages, Kindle Edition",74,,12 people are currently reading,123 people want to read
849,Unsettled,"First published May 11, 2021",Reem Faruqi,Middle Grade,4.20,"1,661 ratings","352 pages, Hardcover",75,,75 people are currently reading,"8,904 people want to read"
850,"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters","First published April 27, 2021",Steven E. Koonin,Science,4.26,"3,446 ratings","320 pages, Kindle Edition",76,,"1,994 people are currently reading","9,435 people want to read"
851,Worse Guy,"First published October 10, 2021",Ruby Dixon,Romance,4.17,"5,797 ratings","234 pages, Kindle Edition",77,,311 people are currently reading,"1,896 people want to read"
852,From Sarah to Sydney: The Woman Behind All-of-a-Kind Family,"First published June 22, 2021",June Cummins,Biography,3.58,118 ratings,"400 pages, Hardcover",78,,54 people are currently reading,411 people want to read
853,The Last Legacy,"First published September 7, 2021",Adrienne Young,Fantasy,3.94,"10,752 ratings","322 pages, Hardcover",79,,437 people are currently reading,35.1k people want to read
854,Stay Another Day,"First published October 14, 2021",Juno Dawson,Christmas,3.99,"2,103 ratings","352 pages, Paperback",80,,88 people are currently reading,"2,232 people want to read"
855,"Skip Beat!, Vol. 46","First published January 20, 2021",Yoshiki Nakamura,Manga,4.60,754 ratings,"152 pages, Paperback",81,,50 people are currently reading,302 people want to read
856,Deity,"First published August 17, 2021",Sheridan Anne,Reverse Harem,4.38,"6,320 ratings","510 pages, Kindle Edition",82,,675 people are currently reading,"2,475 people want to read"
857,Feminism for Women: The Real Route to Liberation,"First published January 1, 2021",Julie Bindel,Feminism,4.17,405 ratings,"254 pages, Hardcover",83,,42 people are currently reading,"1,181 people want to read"
858,Craft in the Real World: Rethinking Fiction Writing and Workshopping,"First published January 19, 2021",Matthew Salesses,Writing,4.45,"2,245 ratings","256 pages, Paperback",84,,419 people are currently reading,10.9k people want to read
859,The Guide,"First published August 24, 2021",Peter Heller,Fiction,3.62,"19,211 ratings","257 pages, Hardcover",85,,794 people are currently reading,22.1k people want to read
860,"Invisible Child: Poverty, Survival & Hope in an American City","First published October 5, 2021",Andrea Elliott,Nonfiction,4.71,"17,162 ratings","602 pages, Hardcover",86,,"2,435 people are currently reading",40.8k people want to read
861,Small Things Like These,"First published November 5, 2021",Claire Keegan,Fiction,4.17,"239,597 ratings","128 pages, Hardcover",87,,11k people are currently reading,257k people want to read
862,City of the Plague God,"First published January 12, 2021",Sarwat Chadda,,4.22,"3,396 ratings","400 pages, Hardcover",88,,415 people are currently reading,11.5k people want to read
863,Infinitum,"First published January 19, 2021",Tim Fielder,Graphic Novels,4.16,296 ratings,"288 pages, Hardcover",89,,18 people are currently reading,378 people want to read
864,Hani and Ishu’s Guide to Fake Dating,"First published May 25, 2021",Adiba Jaigirdar,,4.09,"33,885 ratings","352 pages, Kindle Edition",90,,907 people are currently reading,75k people want to read
865,After The Revolution,"First published January 1, 2022",Robert Evans,Fiction,4.31,"2,131 ratings","380 pages, Paperback",91,,199 people are currently reading,"4,889 people want to read"
866,Georgana's Secret,"First published January 12, 2021",Arlem Hawks,Romance,4.07,"2,833 ratings","320 pages, Paperback",92,,62 people are currently reading,"3,556 people want to read"
867,The Boy from the Mish,"First published February 2, 2021",Gary Lonesborough,Young Adult,4.20,"2,982 ratings","288 pages, Paperback",93,,63 people are currently reading,"8,584 people want to read"
868,Everyone in This Room Will Someday Be Dead,"First published July 6, 2021",Emily R. Austin,Fiction,3.86,"71,552 ratings","256 pages, Paperback",94,,"2,923 people are currently reading",172k people want to read
869,Fireheart Tiger,"First published February 9, 2021",Aliette de Bodard,Fantasy,3.39,"5,292 ratings","103 pages, Paperback",95,,217 people are currently reading,19.3k people want to read
870,Tiger Girl And The Candy Kid: America's Original Gangster Couple,"First published March 30, 2021",Glenn Stout,True Crime,3.71,351 ratings,"384 pages, Hardcover",97,,64 people are currently reading,927 people want to read
871,Henry ‘Chips’ Channon: The Diaries (Volume 2): 1938-43,"First published September 9, 2021",Henry Channon,Diary,4.34,148 ratings,"1120 pages, Kindle Edition",98,,71 people are currently reading,181 people want to read
872,"Red, White, and Black: Rescuing American History from Revisionists and Race Hustlers","First published May 11, 2021",Robert L. Woodson Sr.,History,4.42,338 ratings,"242 pages, Kindle Edition",99,,395 people are currently reading,757 people want to read
873,Reaper's Salvation: A Last Riders Trilogy,"First published March 30, 2021",Jamie Begley,Romance,4.56,"3,306 ratings","577 pages, Kindle Edition",100,,666 people are currently reading,"2,285 people want to read"
874,Bad Guy,"First published May 1, 2021",Ruby Dixon,Romance,4.11,"9,237 ratings","313 pages, Kindle Edition",1,,819 people are currently reading,"3,438 people want to read"
875,He Saw That It Was Good: How Your Creative Life Can Change a Broken World,"First published May 18, 2021",Sho Baraka,Faith,4.28,410 ratings,"208 pages, ebook",2,,53 people are currently reading,961 people want to read
876,Lion's Quest,"First published June 9, 2021",Eve Langlais,Romance,4.15,497 ratings,"143 pages, Kindle Edition",3,,79 people are currently reading,340 people want to read
877,Golden Chaos,"First published April 24, 2021",Colette Rhodes,Reverse Harem,4.20,"3,103 ratings","388 pages, Kindle Edition",4,,141 people are currently reading,672 people want to read
878,The Rebel,"First published May 5, 2021",Sophie Lark,Romance,4.19,"19,858 ratings","528 pages, Kindle Edition",5,,"1,874 people are currently reading",23.8k people want to read
879,The Fortune Men,"First published May 27, 2021",Nadifa Mohamed,Fiction,3.80,"5,285 ratings","315 pages, Hardcover",6,,389 people are currently reading,12.2k people want to read
880,Both/And: A Memoir,"First published November 2, 2021",Huma Abedin,Memoir,4.32,"5,715 ratings","544 pages, Hardcover",7,,864 people are currently reading,"8,523 people want to read"
881,Ghost Forest,"First published July 13, 2021",Pik-Shuen Fung,Fiction,4.15,"5,125 ratings","272 pages, Hardcover",8,,133 people are currently reading,19.4k people want to read
882,"We Are Bellingcat: Global Crime, Online Sleuths, and the Bold Future of News","First published March 2, 2021",Eliot Higgins,Nonfiction,4.12,"5,106 ratings","272 pages, Hardcover",9,,625 people are currently reading,"6,825 people want to read"
883,The Ladies of the Secret Circus,"First published March 23, 2021",Constance Sayers,Fantasy,3.83,"10,865 ratings","448 pages, Hardcover",10,,"1,006 people are currently reading",24.7k people want to read
884,May the Best Man Win,"First published May 18, 2021",Z.R. Ellor,LGBT,3.23,"5,989 ratings","380 pages, Hardcover",11,,402 people are currently reading,23.6k people want to read
885,De genocidefax,"First published May 29, 2021",Roxane van Iperen,Nonfiction,4.29,"1,534 ratings","64 pages, Paperback",12,,16 people are currently reading,845 people want to read
886,Bone Music,"First published April 1, 2021",David Almond,Young Adult,3.74,357 ratings,"240 pages, Hardcover",13,,17 people are currently reading,249 people want to read
887,Dead Ground,"First published June 3, 2021",M.W. Craven,Crime,4.36,"7,917 ratings","451 pages, ebook",14,,353 people are currently reading,"3,560 people want to read"
888,Tim Te Maro and the Subterranean Heartsick Blues,"First published July 28, 2021",H.S. Valley,Fantasy,3.73,"2,305 ratings","320 pages, Paperback",15,,91 people are currently reading,"3,922 people want to read"
889,The Gold in These Hills,"First published August 1, 2021",Joanne Bischof,Historical Fiction,4.03,"1,627 ratings","323 pages, Paperback",16,,91 people are currently reading,"5,445 people want to read"
890,Serpentine,"First published February 2, 2021",Jonathan Kellerman,Mystery,4.18,"13,599 ratings","368 pages, ebook",17,,"3,344 people are currently reading","6,856 people want to read"
891,The Perfect Lie,"First published May 13, 2021",Jo Spain,Thriller,3.92,"8,372 ratings","400 pages, Kindle Edition",18,,965 people are currently reading,"5,954 people want to read"
892,People Like Her,"First published January 12, 2021",Ellery Lloyd,Thriller,3.37,"29,337 ratings","288 pages, Hardcover",19,,"1,184 people are currently reading",31.8k people want to read
893,The Duchess,"First published August 19, 2021",Wendy Holden,Historical Fiction,3.98,"2,364 ratings","352 pages, Hardcover",20,,404 people are currently reading,"6,841 people want to read"
894,"The Abolition of Sex: How the ""Transgender"" Agenda Harms Women and Girls","First published November 8, 2021",Kara Dansky,Feminism,4.26,360 ratings,"142 pages, Hardcover",22,,54 people are currently reading,"1,018 people want to read"
895,Beauty and the Outcast,"First published July 1, 2021",Lucy Darling,Romance,4.11,"2,395 ratings","125 pages, Kindle Edition",23,,479 people are currently reading,855 people want to read
896,After Francesco,"First published May 25, 2021",Brian Malloy,Historical Fiction,4.21,905 ratings,"304 pages, Hardcover",24,,52 people are currently reading,"8,309 people want to read"
897,A Very Friendly Valentine's Day,"First published January 14, 2021",Kayley Loring,Romance,4.10,"4,128 ratings","286 pages, Kindle Edition",25,,901 people are currently reading,"1,649 people want to read"
898,One Day Fiance,"First published August 2, 2021",Lauren Landish,Romance,4.26,"5,097 ratings","370 pages, Kindle Edition",26,,"3,636 people are currently reading","1,643 people want to read"
899,The Greek Revolution: 1821 and the Making of Modern Europe,"First published November 16, 2021",Mark Mazower,History,4.22,715 ratings,"624 pages, Hardcover",27,,236 people are currently reading,"2,553 people want to read"
900,"Hades, Argentina","First published January 12, 2021",Daniel Loedel,Fiction,3.75,"1,456 ratings","294 pages, Hardcover",28,,165 people are currently reading,"7,550 people want to read"
901,Did Ye Hear Mammy Died? A Memoir,"First published July 22, 2021",Séamas O'Reilly,Memoir,4.13,"7,546 ratings","231 pages, Hardcover",29,,662 people are currently reading,10.9k people want to read
902,Out of House and Home,"First published June 23, 2021",Drew Hayes,Fantasy,4.45,"3,175 ratings","420 pages, Kindle Edition",30,,203 people are currently reading,671 people want to read
903,The Women of Chateau Lafayette,"First published March 30, 2021",Stephanie Dray,Historical Fiction,4.26,"22,456 ratings","576 pages, Paperback",31,,"2,755 people are currently reading",52.1k people want to read
904,Dark Across the Bay,"First published December 7, 2021",Ania Ahlborn,Horror,3.48,"4,878 ratings","248 pages, Paperback",32,,502 people are currently reading,12.3k people want to read
905,Street Smart,"First published March 4, 2021",Aly Stiles,Romance,3.75,"1,294 ratings","308 pages, Paperback",33,,305 people are currently reading,"6,560 people want to read"
906,Reel,"First published June 8, 2021",Kennedy Ryan,Romance,4.47,"12,588 ratings","434 pages, Kindle Edition",34,,"2,146 people are currently reading",25.6k people want to read
907,The Very Nice Box,"First published July 6, 2021",Laura Blackett,Fiction,3.76,"4,715 ratings","320 pages, Kindle Edition",35,,158 people are currently reading,13.8k people want to read
908,Pando: A Living Wonder of Trees,"First published August 1, 2021",Kate Allen Fox,Picture Books,4.46,270 ratings,"32 pages, Hardcover",36,,3 people are currently reading,182 people want to read
909,The Art of Space Travel and Other Stories,"First published September 7, 2021",Nina Allan,Short Stories,3.87,95 ratings,"480 pages, ebook",37,,30 people are currently reading,352 people want to read
910,Pumpkin,"First published May 25, 2021",Julie Murphy,Young Adult,4.17,"7,715 ratings","336 pages, ebook",39,,231 people are currently reading,14.8k people want to read
911,Hard to Lose,"First published March 30, 2021",K. Bromberg,Romance,4.38,"3,822 ratings","294 pages, ebook",40,,458 people are currently reading,"4,031 people want to read"
912,The Past Is Red,"First published July 20, 2021",Catherynne M. Valente,Science Fiction,4.10,"5,506 ratings","151 pages, Hardcover",41,,198 people are currently reading,16.6k people want to read
