,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
782,Taureaux.,"Published January 1, 1937",Ernest Hemingway,,0.00,0 ratings,Paperback,19,,,
783,Indian Camp: A Short Story,"Published May 9, 2023",Ernest Hemingway,,0.00,0 ratings,"5 pages, Kindle Edition",20,,,
784,Rare MEN AT WAR; 82 BEST WAR STORIES OF ALL TIME HEMINGWAY WW2 CHURCHILL [Hardcover] Ernest Hemingway,"Published January 1, 1979",Ernest Hemingway,,0.00,0 ratings,"233 pages, Hardcover",21,,,
785,FOR WHOM THE BELL TOLLS Easton Press,"Published January 1, 1970",Ernest Hemingway,,0.00,0 ratings,Hardcover,22,,,
786,THE ATLANTIC MONTHLY; NOVEMBER 1957; 100TH ANNIVERSARY CENTENNIAL ISSUE; VOL. 200 NO. 5,"Published January 1, 1957",Ernest Hemingway,,0.00,0 ratings,Paperback,23,,,
787,Webster's New World Book,"Published January 1, 1969",Ernest Hemingway,,0.00,0 ratings,Paperback,25,,,
788,Novellak,"Published January 1, 1960",Ernest Hemingway,,0.00,0 ratings,Hardcover,26,,,
789,The Horns of the Bull.,"Published January 1, 1936",Ernest Hemingway,,0.00,0 ratings,Paperback,27,,,
790,BREGOVI KAO BELI SLONOVI,"Published January 1, 1965",Ernest Hemingway,,0.00,0 ratings,Paperback,29,,,
791,El Viejo y El Mar[SPA-VIEJO Y EL MAR][Spanish Edition][Paperback],"Published July 31, 2011",Ernest Hemingway,,0.00,0 ratings,Paperback,30,,,
792,Selected stories,"Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,"397 pages, Unknown Binding",1,,,
793,国民阅读经典：太阳照常升起（全译本）,"Published December 1, 2014",Ernest Hemingway,,0.00,0 ratings,Paperback,2,,,
794,THE SHORT STORIES: The Short Stories,"Published August 31, 1995",Ernest Hemingway,,0.00,0 ratings,Paperback,3,,,
795,HOW DO YOU LIKE IT NOW GENTLEMEN?,"Published January 1, 1950",Ernest Hemingway,,0.00,0 ratings,Hardcover,4,,,
796,"THE ART OF FICTION XXI. In The Paris Review No. 18, pp. 61.","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,5,,,
797,The Atlantic Monthly. August 1933,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Paperback,6,,,
798,"The Paris Review: 18, Spring 1958, Fifth Anniversary Issue","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,8,,,
799,Across The River Into The Trees,"Published January 1, 1987",Ernest Hemingway,,0.00,0 ratings,Paperback,10,,,
800,A Fatewell to Arms,"Published January 1, 1957",Ernest Hemingway,,0.00,0 ratings,Paperback,12,,,
801,[(The Complete Poems)] [Author: Ernest Hemingway] published on,"Published June 1, 1992",Ernest Hemingway,,0.00,0 ratings,Paperback,13,,,
802,La 5a colonna.,"Published January 1, 1946",Ernest Hemingway,,0.00,0 ratings,Paperback,14,,,
803,"Heminway Novels, Six Volume set","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Hardcover,15,,,
804,God Rest You Merry Gentlemen,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Hardcover,17,,,
805,"KEN The Insider's World Magazine June 16th, 1938 VOL. 1. NO. 6 ""TOMORROW THE WORLD IS OURS""","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Paperback,18,,,
806,Antique Rare The Old Men at the Zoo by Angus Wilson (1961) 1st Printing Hardcover Novel [Hardcover] Ernest Hemingway,"Published January 1, 1800",Ernest Hemingway,,0.00,0 ratings,"299 pages, Hardcover",19,,,
807,Paris,"Published January 1, 2009",Ernest Hemingway,,0.00,0 ratings,Paperback,20,,,
808,Mit a Nemit,"Published January 1, 1979",Ernest Hemingway,,0.00,0 ratings,Hardcover,21,,,
809,HEMINGVEJ ODABRANA DELA U SEST KNJIGA,"Published January 1, 1975",Ernest Hemingway,,0.00,0 ratings,Hardcover,22,,,
810,"""My Old Man"", in Best Short Stories of 1923","Published January 1, 1924",Ernest Hemingway,,0.00,0 ratings,Hardcover,23,,,
811,PRIPOVETKE,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,Hardcover,24,,,
812,In Their Time 1920 -1940,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,Paperback,25,,,
813,The Only Nice People in Canada,"Published January 1, 1969",Ernest Hemingway,,0.00,0 ratings,Paperback,26,,,
814,OBRAS SELECTAS. I. NOVELAS. II. CUENTOS. REPORTAJES. MISCELANEA.,"Published January 1, 1974",Ernest Hemingway,,0.00,0 ratings,Hardcover,28,,,
815,La 5a colonna.,"Published January 1, 1946",Ernest Hemingway,,0.00,0 ratings,Paperback,1,,,
816,Dateline Toronto. Hemingway's Complete Toronto Star Dispatches. 1920-1924,"Published January 1, 1985",Ernest Hemingway,,0.00,0 ratings,Hardcover,2,,,
817,JOHN NANCE GARNER,"Published January 1, 1936",Ernest Hemingway,,0.00,0 ratings,Hardcover,3,,,
818,国民阅读经典：太阳照常升起（全译本）,"Published December 1, 2014",Ernest Hemingway,,0.00,0 ratings,Paperback,4,,,
819,THE SHORT STORIES: The Short Stories,"Published August 31, 1995",Ernest Hemingway,,0.00,0 ratings,Paperback,5,,,
820,HOW DO YOU LIKE IT NOW GENTLEMEN?,"Published January 1, 1950",Ernest Hemingway,,0.00,0 ratings,Hardcover,6,,,
821,"THE ART OF FICTION XXI. In The Paris Review No. 18, pp. 61.","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,7,,,
822,The Atlantic Monthly. August 1933,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Paperback,8,,,
823,"The Paris Review: 18, Spring 1958, Fifth Anniversary Issue","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,10,,,
824,Across The River Into The Trees,"Published January 1, 1987",Ernest Hemingway,,0.00,0 ratings,Paperback,12,,,
825,A Fatewell to Arms,"Published January 1, 1957",Ernest Hemingway,,0.00,0 ratings,Paperback,14,,,
826,[(The Complete Poems)] [Author: Ernest Hemingway] published on,"Published June 1, 1992",Ernest Hemingway,,0.00,0 ratings,Paperback,15,,,
827,"Heminway Novels, Six Volume set","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Hardcover,17,,,
828,Selected stories,"Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,"397 pages, Unknown Binding",18,,,
829,God Rest You Merry Gentlemen,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Hardcover,19,,,
830,"KEN The Insider's World Magazine June 16th, 1938 VOL. 1. NO. 6 ""TOMORROW THE WORLD IS OURS""","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Paperback,20,,,
831,Antique Rare The Old Men at the Zoo by Angus Wilson (1961) 1st Printing Hardcover Novel [Hardcover] Ernest Hemingway,"Published January 1, 1800",Ernest Hemingway,,0.00,0 ratings,"299 pages, Hardcover",21,,,
832,Paris,"Published January 1, 2009",Ernest Hemingway,,0.00,0 ratings,Paperback,22,,,
833,Mit a Nemit,"Published January 1, 1979",Ernest Hemingway,,0.00,0 ratings,Hardcover,23,,,
834,HEMINGVEJ ODABRANA DELA U SEST KNJIGA,"Published January 1, 1975",Ernest Hemingway,,0.00,0 ratings,Hardcover,24,,,
835,PRIPOVETKE,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,Hardcover,26,,,
836,In Their Time 1920 -1940,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,Paperback,27,,,
837,The Only Nice People in Canada,"Published January 1, 1969",Ernest Hemingway,,0.00,0 ratings,Paperback,28,,,
838,OBRAS SELECTAS. I. NOVELAS. II. CUENTOS. REPORTAJES. MISCELANEA.,"Published January 1, 1974",Ernest Hemingway,,0.00,0 ratings,Hardcover,30,,,
839,Across The River Into The Trees,"Published January 1, 1987",Ernest Hemingway,,0.00,0 ratings,Paperback,1,,,
840,In Our Time: Five Short Stories,"Published December 19, 2024",Ernest Hemingway,,0.00,0 ratings,"84 pages, Hardcover",2,English,,
841,Verdi colline d'Africa,"Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Paperback,4,,,
842,Ringling Bros. and Barnum & Bailey: Circus Magazine & Program,"Published January 1, 1953",Ernest Hemingway,,0.00,0 ratings,"76 pages, Paperback",5,,,
843,Dateline Toronto. Hemingway's Complete Toronto Star Dispatches. 1920-1924,"Published January 1, 1985",Ernest Hemingway,,0.00,0 ratings,Hardcover,6,,,
844,JOHN NANCE GARNER,"Published January 1, 1936",Ernest Hemingway,,0.00,0 ratings,Hardcover,7,,,
845,国民阅读经典：太阳照常升起（全译本）,"Published December 1, 2014",Ernest Hemingway,,0.00,0 ratings,Paperback,8,,,
846,THE SHORT STORIES: The Short Stories,"Published August 31, 1995",Ernest Hemingway,,0.00,0 ratings,Paperback,9,,,
847,HOW DO YOU LIKE IT NOW GENTLEMEN?,"Published January 1, 1950",Ernest Hemingway,,0.00,0 ratings,Hardcover,10,,,
848,"THE ART OF FICTION XXI. In The Paris Review No. 18, pp. 61.","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,11,,,
849,The Atlantic Monthly. August 1933,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Paperback,12,,,
850,"The Paris Review: 18, Spring 1958, Fifth Anniversary Issue","Published January 1, 1958",Ernest Hemingway,,0.00,0 ratings,Paperback,14,,,
851,In Their Time 1920 -1940,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,Paperback,16,,,
852,A Fatewell to Arms,"Published January 1, 1957",Ernest Hemingway,,0.00,0 ratings,Paperback,18,,,
853,[(The Complete Poems)] [Author: Ernest Hemingway] published on,"Published June 1, 1992",Ernest Hemingway,,0.00,0 ratings,Paperback,19,,,
854,La 5a colonna.,"Published January 1, 1946",Ernest Hemingway,,0.00,0 ratings,Paperback,20,,,
855,"Heminway Novels, Six Volume set","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Hardcover,21,,,
856,Selected stories,"Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,"397 pages, Unknown Binding",22,,,
857,God Rest You Merry Gentlemen,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Hardcover,23,,,
858,"KEN The Insider's World Magazine June 16th, 1938 VOL. 1. NO. 6 ""TOMORROW THE WORLD IS OURS""","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Paperback,24,,,
859,Antique Rare The Old Men at the Zoo by Angus Wilson (1961) 1st Printing Hardcover Novel [Hardcover] Ernest Hemingway,"Published January 1, 1800",Ernest Hemingway,,0.00,0 ratings,"299 pages, Hardcover",25,,,
860,Paris,"Published January 1, 2009",Ernest Hemingway,,0.00,0 ratings,Paperback,26,,,
861,Mit a Nemit,"Published January 1, 1979",Ernest Hemingway,,0.00,0 ratings,Hardcover,27,,,
862,HEMINGVEJ ODABRANA DELA U SEST KNJIGA,"Published January 1, 1975",Ernest Hemingway,,0.00,0 ratings,Hardcover,28,,,
863,"""My Old Man"", in Best Short Stories of 1923","Published January 1, 1924",Ernest Hemingway,,0.00,0 ratings,Hardcover,29,,,
864,PRIPOVETKE,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,Hardcover,30,,,
865,Enviado especial,"Published January 1, 1968",Ernest Hemingway,,0.00,0 ratings,Hardcover,1,,,
866,The Killers [in] O. Henry Memorial Prize Stories for 1927 [in Two Volumes],"Published January 1, 1928",Ernest Hemingway,,0.00,0 ratings,Paperback,3,,,
867,10 Book LOT: A Farewell to Arms + For Whom the Bell Tolls + Garden of Eden + Green Hills of Africa + In Our Time + Old Man and the Sea + Short Stories of Ernest Hemingway + Snows of Kilimanjaro and Other Stories + The Sun Also Rises + To Have and Have Not,"Published January 1, 1956",Ernest Hemingway,,0.00,0 ratings,Paperback,5,,,
868,Farvel Til Vapnene,"Published January 1, 1929",Ernest Hemingway,,0.00,0 ratings,Hardcover,6,,,
869,By-Line,"Published January 1, 1990",Ernest Hemingway,,0.00,0 ratings,Hardcover,7,,,
870,SUNCE SE PONOVO RADjA - STARAC I MORE,"Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Hardcover,8,,,
871,5 Issue Collection Arkansas Review: A Journal of Delta Studies [5 Various Issues from 1997 thru 2001],"Published January 1, 2000",Ernest Hemingway,,0.00,0 ratings,Paperback,9,,,
872,"[Sarah Fyge Egerton: Series II, Part four: Printed writings 1641-1700] (By: Robert C. Evans) [published: August, 2012]","Published August 20, 2012",Ernest Hemingway,,0.00,0 ratings,Hardcover,10,,,
873,Zbohom Zbraniam - Komu Zvonia Da Hrobu - Starec A More (Kniznica Nobelovych Cien),"Published January 1, 1973",Ernest Hemingway,,0.00,0 ratings,"878 pages, Hardcover",11,,,
874,Ernest Hemingway Nice Condition 1936 Contract Signed,"Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Loose Leaf,12,,,
875,Scribner's Magazine. March 1933,"Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Paperback,13,,,
876,"Green Hills of Africa, story in June 1954 issue of ARGOSY, The Complete Man's Magazine.","Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Paperback,14,,,
877,The Avon Story Teller,"Published January 1, 1945",Ernest Hemingway,,0.00,0 ratings,"283 pages, Mass Market Paperback",15,,,
878,The Short Stories of Ernest Hemingway: the first 49 stories,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,"499 pages, Unknown Binding",16,,,
879,Will You Let These Kiddies Miss Santa Claus?,"Published January 1, 1970",Ernest Hemingway,,0.00,0 ratings,Paperback,17,,,
880,"Ernest Hemingway/William Faulkner. Includes ""His Mirror Was Danger"" [and other Hemingway related stories and photos] In a Life Eductional Reprint, #6.","Published January 1, 1964",Ernest Hemingway,,0.00,0 ratings,Paperback,21,,,
881,O. Henry Memorial Award Prize Stories of 1927 Vol. IV Part I.,"Published January 1, 1928",Ernest Hemingway,,0.00,0 ratings,Hardcover,22,,,
882,"Scribner's Magazine: March 1927, Volume LXXXI, No. 3","Published January 1, 1927",Ernest Hemingway,,0.00,0 ratings,Paperback,23,,,
883,The Paris Review 25th Anniversary Double Issue 79,"Published January 1, 1981",Ernest Hemingway,,0.00,0 ratings,Paperback,24,,,
884,la Quinta Columna y Cuatro Historias De La Guerra Civil Española,"Published January 1, 1972",Ernest Hemingway,,0.00,0 ratings,Paperback,25,,,
885,The Complete Stories of Erneat Hemingway,"Published January 1, 1987",Ernest Hemingway,,0.00,0 ratings,Paperback,26,,,
886,"Scribner's Magazine: June, 1929, Volume LXXXV, No. 6","Published January 1, 1929",Ernest Hemingway,,0.00,0 ratings,Paperback,27,,,
887,ODABRANA DELA I - VI,"Published January 1, 1975",Ernest Hemingway,,0.00,0 ratings,Hardcover,28,,,
888,SMRT Odpoledne,"Published January 1, 1960",Ernest Hemingway,,0.00,0 ratings,Hardcover,30,,,
889,The Atlantic Monthly,"Published January 1, 1927",Ernest Hemingway,,0.00,0 ratings,Paperback,1,,,
890,HERITAGE. FOR MY CHILDREN.,"Published January 1, 1974",Ernest Hemingway,,0.00,0 ratings,Paperback,3,,,
891,Erzahlungen -- TEXT IN GERMAN -- The Fifth Column and the First Forty Nine,"Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Hardcover,4,,,
892,Today is Friday-One Act Play,"Published January 1, 1926",Ernest Hemingway,,0.00,0 ratings,Hardcover,5,,,
893,Gattorno,"Published January 1, 1935",Ernest Hemingway,,0.00,0 ratings,"94 pages, Paperback",6,,,
894,The Fifth Column and the First Forty-nine,"Published January 1, 1948",Ernest Hemingway,,0.00,0 ratings,Hardcover,8,,,
895,For Who The Bells Toll,"Published January 1, 1940",Ernest Hemingway,,0.00,0 ratings,Unknown Binding,9,,,
896,PROLETNJE BUJICE,"Published January 1, 1961",Ernest Hemingway,,0.00,0 ratings,Hardcover,10,,,
897,London Fights The Robots [ V-1 Rockets],"Published January 1, 1944",Ernest Hemingway,,0.00,0 ratings,Paperback,11,,,
898,Men At War - An Anthology,"Published January 1, 1972",Ernest Hemingway,,0.00,0 ratings,Paperback,13,,,
899,Grunen Hugel Afrikas / Paris - ein Fest furs Leben / 49 Depeschen,"Published January 1, 1977",Ernest Hemingway,,0.00,0 ratings,Hardcover,14,,,
900,Ernest Hemingway 2 Books Collection Pack Set,"Published January 1, 2011",Ernest Hemingway,,0.00,0 ratings,Paperback,15,,,
901,Farvel Til Vapnene,"Published January 1, 1929",Ernest Hemingway,,0.00,0 ratings,Hardcover,16,,,
902,5 Vol Set ~ Ernest Hemingway ~ Collier,"Published January 1, 1940",Ernest Hemingway,,0.00,0 ratings,Hardcover,17,,,
903,"Ernest Hemingway, paperback softcover, The Essential Hemingway, Island in the Stream, By-Line, A Moveable Feast,","Published January 1, 1997",Ernest Hemingway,,0.00,0 ratings,Paperback,18,,,
904,The Complete Works of Ernest Hemingway Easton Press collectors edition complete in 19 volumes,"Published January 1, 1990",Ernest Hemingway,,0.00,0 ratings,Leather Bound,19,,,
905,Un addio alle armi.,"Published January 1, 1929",Ernest Hemingway,,0.00,0 ratings,Paperback,20,,,
906,Haben Und Nichthaben AKA To Have And Have Not,"Published January 1, 1971",Ernest Hemingway,,0.00,0 ratings,Paperback,21,,,
907,"Ernest HEMINGWAY / Over floden -- ind i skovene 1951 [Hardcover] HEMINGWAY, Ernest","Published January 1, 1951",Ernest Hemingway,,0.00,0 ratings,Hardcover,22,,,
908,Afrikas Gronne Bjerge [The Green Hills of Africa],"Published January 1, 1945",Ernest Hemingway,,0.00,0 ratings,Paperback,24,,,
909,Hemingway: A Collection of Critical Essays,"Published January 1, 1963",Ernest Hemingway,,0.00,0 ratings,Hardcover,25,,,
910,Starik i more. Zelenye kholmy Afriki,"Published January 1, 2023",Ernest Hemingway,,0.00,0 ratings,"416 pages, Paperback",26,Russian,,
911,The Killers [in] O. Henry Memorial Prize Stories for 1927 [in Two Volumes],"Published January 1, 1928",Ernest Hemingway,,0.00,0 ratings,Paperback,28,,,
912,10 Book LOT: A Farewell to Arms + For Whom the Bell Tolls + Garden of Eden + Green Hills of Africa + In Our Time + Old Man and the Sea + Short Stories of Ernest Hemingway + Snows of Kilimanjaro and Other Stories + The Sun Also Rises + To Have and Have Not,"Published January 1, 1956",Ernest Hemingway,,0.00,0 ratings,Paperback,30,,,
913,"Men Without Women: In Another Country, Hills Like White Elephants, The Killers, Ten Indians, Now I Lay Me, Banal Story…","Published August 2, 2023",Ernest Hemingway,,0.00,0 ratings,"84 pages, Paperback",2,English,,
914,The Sun Also Rises VOL 2: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"328 pages, Paperback",3,English,,
915,In Our Time & Poems,"Published January 15, 2023",Ernest Hemingway,,0.00,0 ratings,"31 pages, Paperback",4,English,,
916,The Sun Also Rises VOL 3: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"364 pages, Paperback",5,English,,
917,FROM BROOM TO BOARDMAN: The Rise of Benevolent Millionaire,"Published July 27, 2023",Ernest Hemingway,,0.00,0 ratings,"6 pages, Kindle Edition",6,,,
918,Relatos inéditos,"Published January 1, 1989",Ernest Hemingway,,0.00,0 ratings,Paperback,7,Spanish; Castilian,,
919,"Men Without Women: offers a glimpse into the lives of different male characters and their interactions with women,","Published July 22, 2023",Ernest Hemingway,,0.00,0 ratings,"116 pages, Paperback",8,English,,
920,Farlig sommer,"Published December 10, 2019",Ernest Hemingway,,0.00,0 ratings,"302 pages, Hardcover",9,Danish,,
921,"The Sun Also Rises: A Journey of Love, Loss, and the Quest for Authenticity","Published July 19, 2023",Ernest Hemingway,,0.00,0 ratings,"208 pages, Paperback",10,English,,
922,The Sun Also Rises VOL 4: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"350 pages, Paperback",11,English,,
923,The Sun Also Rises VOL 1: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"358 pages, Paperback",12,English,,
924,The Big Read: An Introduction to A Farewell to Arms,"Published January 1, 2006",Ernest Hemingway,,0.00,0 ratings,Audio CD,13,,,
925,"Scribner's Magazine: March, 1933, Volume XCIII, No. 3","Published January 1, 1933",Ernest Hemingway,,0.00,0 ratings,Paperback,14,,,
926,"Scribner's Magazine: September, 1929, Volume LXXXVI, No. 3","Published January 1, 1929",Ernest Hemingway,,0.00,0 ratings,Paperback,15,,,
927,Men Without Women & In Our Time by Ernest Hemingway,"Published January 1, 1927",Ernest Hemingway,,0.00,0 ratings,"174 pages, Hardcover",16,English,,
928,Today is Friday-One Act Play,"Published January 1, 1926",Ernest Hemingway,,0.00,0 ratings,Hardcover,17,,,
929,Aguas primaverales ; Islas a la deriva,"Published January 1, 1986",Ernest Hemingway,,0.00,0 ratings,Hardcover,18,English,,
930,Fiesta ; Vida de Jesús ; Una aldea,"Published January 1, 1966",Ernest Hemingway,,0.00,0 ratings,Paperback,19,,,
931,Fiesta ; Al otro lado del río y entre los árboles,"Published January 1, 1987",Ernest Hemingway,,0.00,0 ratings,Hardcover,20,English,,
932,Hemingway. eThe Old man and the seae. Le Vieil homme et la mer : Traduit de l'américain par Jean Dutourd. Postface de Michel Mohrt,"Published January 1, 1955",Ernest Hemingway,,0.00,0 ratings,"150 pages, Paperback",21,,,
933,"Fiesta: Traducción, introducción y notas José Gabriel Rodríguez Pazos","Published June 27, 2023",Ernest Hemingway,,0.00,0 ratings,"266 pages, Hardcover",22,Spanish; Castilian,,
934,"Men Without Women (Illustrated): A Captivating Exploration of Masculinity, Love, and Loss","Published June 1, 2023",Ernest Hemingway,,0.00,0 ratings,"205 pages, Paperback",23,English,,
935,"The Sun Also Rises, annotated and revised","Published June 9, 2023",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,24,,,
936,Five Volumes in Slipcase: For Whom the Bell Tolls; To Have and Have Not; The Old Man and the Sea; A Farewell to Arms; The Sun Also Rises,"Published January 1, 1999",Ernest Hemingway,,0.00,0 ratings,Hardcover,25,,,
937,PROLETNE BUJICE,"Published January 1, 1961",Ernest Hemingway,,0.00,0 ratings,Hardcover,26,,,
938,EN LIGNE: CHOIX D'ARTICLES ET DE DEPECHES DE QUARANTE ANNEES,"Published January 1, 1970",Ernest Hemingway,,0.00,0 ratings,"544 pages, Paperback",27,French,,
939,HERITAGE. FOR MY CHILDREN.,"Published January 1, 1974",Ernest Hemingway,,0.00,0 ratings,Paperback,29,,,
940,Erzahlungen -- TEXT IN GERMAN -- The Fifth Column and the First Forty Nine,"Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Hardcover,30,,,
941,"The Sun Also Rises: Love, Loss, and Liberation in Hemingway's Masterpiece. Discover ""The Sun Also Rises"" and immerse yourself in an era of passion and ... dreams. The Original Classic","Published August 9, 2023",Ernest Hemingway,,0.00,0 ratings,"202 pages, Hardcover",1,English,,
942,Scrittori del mondo. I Nobel. Ernest HEMINGWAY.,"Published January 1, 1954",Ernest Hemingway,,0.00,0 ratings,Leather Bound,3,,,
943,"Green Hills of Africa, annotated: African safari between nature and introspection","Published August 25, 2023",Ernest Hemingway,,0.00,0 ratings,"177 pages, Kindle Edition",4,,,
944,"The Sun Also Rises and other stories: The classic novel, and fourteen of Hemingway's best known short stories","Published August 24, 2023",Ernest Hemingway,,0.00,0 ratings,"390 pages, Kindle Edition",5,,,
945,The Sun Also Rises - MP3 CD in DVD case,"Published January 1, 2021",Ernest Hemingway,,0.00,0 ratings,MP3 CD,6,,,
946,Hommes sans femmes: Men without women (Traduit en français ) (Hemingway),"Published August 20, 2023",Ernest Hemingway,,0.00,0 ratings,Kindle Edition,7,,,
947,The Strand Magazine: Unpublished Ernest Hemingway Short Story,"Published January 1, 2018",Ernest Hemingway,,0.00,0 ratings,"68 pages, Staple Bound",8,,,
948,The Sun Also Rises: Ernest Hemingway’s First Novel; The Original 1926 Edition,"Published August 17, 2023",Ernest Hemingway,,0.00,0 ratings,"285 pages, Kindle Edition",9,,,
949,Tener Y No Tener,"Published January 1, 1953",Ernest Hemingway,,0.00,0 ratings,Paperback,11,,,
950,Men Without Women: A Collection of Early Hemingway Short Stories,"Published August 6, 2023",Ernest Hemingway,,0.00,0 ratings,"117 pages, Paperback",12,English,,
951,Muzhchiny bez zhenschin,"Published January 1, 2023",Ernest Hemingway,,0.00,0 ratings,"384 pages, Hardcover",13,English,,
952,"THE SUN ALSO RISES, MEN WITHOUT WOMEN, A FAREWELL TO ARMS","Published August 7, 2023",Ernest Hemingway,,0.00,0 ratings,"693 pages, Kindle Edition",14,,,
953,"THE SUN ALSO RISES, A MOVEABLE FEAST, MEN WITHOUT WOMEN, A FAREWELL TO ARMS","Published August 7, 2023",Ernest Hemingway,,0.00,0 ratings,"855 pages, Kindle Edition",15,,,
954,The Sun Also Rises VOL 1: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"358 pages, Paperback",16,English,,
955,"Viejo y El Mar, El - Bolsillo -","Published February 1, 1995",Ernest Hemingway,,0.00,0 ratings,Paperback,17,Spanish; Castilian,,
956,Festa: Ernest Hemingway. Grans clàssics esmicolats,"Published August 6, 2023",Ernest Hemingway,,0.00,0 ratings,"291 pages, Kindle Edition",18,,,
957,The Capital of the World: Ernest Hemingway,"Published August 6, 2023",Ernest Hemingway,,0.00,0 ratings,"20 pages, Kindle Edition",19,,,
958,Men Without Women : A Collection of Early Hemingway Short Stories,"Published August 6, 2023",Ernest Hemingway,,0.00,0 ratings,"137 pages, Kindle Edition",20,,,
959,The Earliest Ernest Hemingway,"Published December 2, 2021",Ernest Hemingway,,0.00,0 ratings,"122 pages, Paperback",21,English,,
960,o kipos tis edem / ο κηπος της εδεμ,"Published January 1, 2007",Ernest Hemingway,,0.00,0 ratings,Paperback,22,,,
961,In Our Time & Poems,"Published January 15, 2023",Ernest Hemingway,,0.00,0 ratings,"31 pages, Paperback",23,English,,
962,The Sun Also Rises VOL 3: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"364 pages, Paperback",24,English,,
963,FROM BROOM TO BOARDMAN: The Rise of Benevolent Millionaire,"Published July 27, 2023",Ernest Hemingway,,0.00,0 ratings,"6 pages, Kindle Edition",25,,,
964,Relatos inéditos,"Published January 1, 1989",Ernest Hemingway,,0.00,0 ratings,Paperback,26,Spanish; Castilian,,
965,"Men Without Women: offers a glimpse into the lives of different male characters and their interactions with women,","Published July 22, 2023",Ernest Hemingway,,0.00,0 ratings,"116 pages, Paperback",27,English,,
966,Farlig sommer,"Published December 10, 2019",Ernest Hemingway,,0.00,0 ratings,"302 pages, Hardcover",28,Danish,,
967,"The Sun Also Rises: A Journey of Love, Loss, and the Quest for Authenticity","Published July 19, 2023",Ernest Hemingway,,0.00,0 ratings,"208 pages, Paperback",29,English,,
968,The Sun Also Rises VOL 4: Super Large Print Edition for Low Vision Readers with a Giant Easy to Read Font,"Published July 20, 2023",Ernest Hemingway,,0.00,0 ratings,"350 pages, Paperback",30,English,,
969,"Bullfighting, Sport And Industry in Fortune Magazine","Published January 1, 1930",Ernest Hemingway,,0.00,0 ratings,Paperback,1,,,
970,"Report from Spain in The New Republic Magazine, June 8, 1938","Published January 1, 1938",Ernest Hemingway,,0.00,0 ratings,Paperback,2,,,
971,London Fights The Robots in Collier's Weekly Magazine,"Published January 1, 1944",Ernest Hemingway,,0.00,0 ratings,Paperback,3,,,
